zip_code,latitude,longitude
11221,40.688687570744,-73.93549864291
11358,40.757903358281,-73.785195730538
11238,40.681842802838,-73.961493544643
10033,40.845116948591,-73.935863232633
10011,40.737227734986,-73.99870455505
10301,40.639079698818,-74.079921564827
11219,40.624488731233,-73.994441553832
11203,40.662439764039,-73.936381973572
11233,40.675016771492,-73.915777575611
11691,40.602002138686,-73.762795881283
10029,40.792581831043,-73.951111208032
11218,40.63708300072,-73.980413844297
11201,40.700084866257,-73.987528848865
10467,40.863110126867,-73.862443544242
11427,40.733057401459,-73.738754727818
11426,40.745939795378,-73.72745484981
10128,40.783631473093,-73.945625463636
11418,40.699182242091,-73.835298555059
10002,40.716545721828,-73.993091909969
11211,40.70674299445,-73.960353776104
11217,40.688826905367,-73.976904515542
11218,40.645009988865,-73.980761045515
11691,40.59674308247,-73.751147803108
11372,40.751303427413,-73.885532693684
11211,40.70674299445,-73.960353776104
11204,40.628111406418,-73.988533053628
11223,40.604987850395,-73.966821159958
10128,40.784322560707,-73.957201905705
10457,40.839237946651,-73.901315107107
11201,40.692860691876,-73.988154055661
11204,40.625577214206,-73.982539060391
11230,40.628331680626,-73.956880822795
10002,40.716281337248,-73.984152940575
11417,40.671232153101,-73.845140734855
11208,40.664029120612,-73.866370072541
10455,40.813720843923,-73.908885459576
11212,40.665870849837,-73.91170514715
10469,40.875525848396,-73.852430309302
11217,40.6763327821,-73.977366716118
10461,40.847498133394,-73.851466212123
10075,40.776694157993,-73.962991055159
11205,40.696263714383,-73.961106526731
11220,40.64903479376,-74.012288594742
11229,40.60175140641,-73.950646489829
10452,40.835840783766,-73.920025467794
11420,40.674983583399,-73.808370703052
10460,40.843938022463,-73.884787164237
10460,40.837994577612,-73.868440659478
11367,40.738131700253,-73.824942831489
11222,40.726127839781,-73.949648446208
11205,40.68844349253,-73.968910519991
11204,40.614296106217,-73.982253877707
10027,40.816143761532,-73.953568585171
11226,40.649780024392,-73.958549851484
10035,40.807375949632,-73.939432570076
11419,40.69299787803,-73.829407122804
11213,40.669212390334,-73.938689763247
10025,40.804884663059,-73.960497376014
11385,40.696548290686,-73.897405157129
11212,40.657432892487,-73.911053194546
10314,40.596795196737,-74.12422622133
11221,40.693287146626,-73.913630417038
11214,40.595333566361,-73.993457375338
11216,40.674373195129,-73.951443338426
10462,40.842325413895,-73.854481214499
11215,40.660016648774,-73.987637288658
11216,40.674373195129,-73.951443338426
11204,40.63541151592,-73.980933162295
10469,40.866073870484,-73.850979854331
11369,40.758370070066,-73.879088133561
11205,40.698574990301,-73.954159281401
11204,40.626491989231,-73.988583767537
11214,40.606359053013,-73.989210262443
11224,40.574404458451,-73.99194038037
11236,40.6350074617,-73.897262340549
11420,40.675763381668,-73.816937899164
10001,40.749189402732,-74.001815393486
11206,40.694078393177,-73.94074394505
10029,40.788433641453,-73.943252534458
11205,40.698574990301,-73.954159281401
11236,40.635545795348,-73.910790639898
11417,40.682581920066,-73.841202288011
10019,40.763362969603,-73.990599812106
10034,40.869192341752,-73.920458854876
11219,40.642233792796,-73.995384141006
10453,40.85181688648,-73.911179028679
10471,40.899902034656,-73.901430878074
11379,40.720738974655,-73.886808363855
10035,40.802412345396,-73.942633750365
10310,40.633563757878,-74.114271778296
11201,40.697331559165,-73.985015764932
11212,40.659280492177,-73.922919519133
11207,40.688379658009,-73.910276164745
10029,40.794917829793,-73.93495109074
11206,40.699539560095,-73.957144743329
10029,40.795486089796,-73.940176594833
10065,40.769023751194,-73.96686909102
11375,40.718910406922,-73.834412676705
11237,40.697177355621,-73.91116946254
11372,40.751303427413,-73.885532693684
11235,40.593494416642,-73.94327841287
11213,40.675605058238,-73.938842489773
10033,40.845462518237,-73.940467613909
11230,40.627080118933,-73.975747946491
10038,40.711435167208,-74.000851270897
10456,40.828834173134,-73.903119265155
10032,40.836529382502,-73.937158087873
10453,40.854694908368,-73.913195889031
11219,40.632423214277,-73.98629137263
11213,40.675605058238,-73.938842489773
11426,40.74622288156,-73.727612482733
11219,40.624000190267,-73.995111629277
10014,40.739643050441,-74.004384464883
11218,40.645009988865,-73.980761045515
10029,40.791874400914,-73.946557683846
11223,40.590560580502,-73.974990748076
11365,40.740557561381,-73.809130455323
10001,40.748969835246,-73.999530814369
11236,40.632791167849,-73.908747937541
10029,40.785663835641,-73.942547125206
11237,40.697771502959,-73.916520476002
11208,40.687186544372,-73.878449680343
10035,40.807375949632,-73.939432570076
10011,40.746710793367,-74.004890191457
11219,40.634989419129,-73.984961361487
10004,40.705569025586,-74.011447860812
11249,40.703796122087,-73.963395954424
11208,40.684006383823,-73.874319882809
11205,40.69349198422,-73.954948920736
11214,40.603181090294,-74.001408072694
11205,40.696938472925,-73.968571158149
11249,40.699026946369,-73.958944670984
10027,40.807253759346,-73.954134716158
10033,40.845462518237,-73.940467613909
10004,40.705129374654,-74.015584713042
10016,40.744831393334,-73.978115659388
11208,40.686237833616,-73.869361407458
10301,40.639079698818,-74.079921564827
11230,40.619998742719,-73.957487780677
10453,40.852529773171,-73.921465688077
11373,40.737605272606,-73.868509735613
11230,40.627373305723,-73.963495670542
10472,40.824047515207,-73.880037844184
10461,40.848961289128,-73.828000741446
11230,40.619557945929,-73.969609116274
10302,40.636590348413,-74.132919019228
11233,40.677797278525,-73.91584255044
11219,40.633779648603,-73.991590909579
10019,40.769074197957,-73.984880423921
11213,40.665644470424,-73.939237349258
11379,40.720738974655,-73.886808363855
11221,40.699888691793,-73.925919841337
11204,40.627021835728,-73.989671631651
11216,40.679390639134,-73.945332223805
11226,40.649702892488,-73.966045658038
11249,40.699487934354,-73.958572923554
11219,40.635838009344,-73.988931651377
11219,40.635857749142,-74.001390749943
11211,40.706196534801,-73.959636349976
10030,40.815009202173,-73.945122849799
11219,40.637328957993,-73.999192914813
10029,40.785663835641,-73.942547125206
11219,40.63956321281,-73.999657697903
10033,40.853010532767,-73.935378439656
10003,40.727947242375,-73.98983993594
11224,40.577313368201,-73.971313122859
11229,40.60175140641,-73.950646489829
10022,40.759233296313,-73.967202460358
10460,40.835758726736,-73.887584047311
